state,jpos0,jpos1,jpos2,jpos3,jpos4,jpos5,jpos6,jpos7,jpos8,jpos9,jpos10,jpos11,jvel0,jvel1,jvel2,jvel3,jvel4,jvel5,jvel6,jvel7,jvel8,jvel9,jvel10,jvel11,jpos0_des,jpos1_des,jpos2_des,jpos3_des,jpos4_des,jpos5_des,jpos6_des,jpos7_des,jpos8_des,jpos9_des,jpos10_des,jpos11_des,kp,kd
2,-0.0248504,0.782628,-1.48312,0.019128,0.791984,-1.49415,-0.0227865,0.786619,-1.47908,0.0212727,0.793492,-1.48734,0.0542573,0.0426308,0.00404402,0.0465063,0,-0.00404402,-0.0503818,0.0387552,0,-0.0542573,0.0542573,0.00202201,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248504,0.782628,-1.48312,0.019128,0.791984,-1.49413,-0.0227562,0.786589,-1.47908,0.0213029,0.793492,-1.48734,0.0503818,0.0348797,0.00404402,0.0387552,0.00387552,0.0202201,-0.0426308,-0.0155021,0.0101101,0.0116266,0.0387552,-0.00404402,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248201,0.782628,-1.48314,0.0190977,0.791953,-1.49413,-0.0227865,0.786619,-1.47909,0.0212424,0.793462,-1.48733,0.104639,0.0310042,-0.0202201,0.0155021,-0.0426308,0.0121321,-0.0387552,0.0387552,-0.00808805,0.00775105,0.00775105,0.0323522,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248504,0.782658,-1.48314,0.019128,0.791984,-1.49413,-0.0227562,0.786589,-1.47909,0.0212727,0.793431,-1.48731,0.0503818,0.100764,-0.0202201,0.0581329,0.0155021,0.0101101,0.0193776,0.0116266,-0.0202201,0.00387552,-0.0620084,0.00404402,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248806,0.782628,-1.48314,0.0190674,0.791953,-1.49412,-0.0227865,0.786589,-1.47909,0.0212727,0.793462,-1.48734,-0.0271287,0.0387552,-0.0242641,-0.0581329,-0.0387552,0.0505503,-0.0465063,-0.0116266,-0.0161761,0,0.00387552,0.00202201,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248504,0.782658,-1.48312,0.019128,0.791984,-1.49413,-0.0227865,0.786619,-1.47909,0.0212727,0.793462,-1.48734,0.0116266,0.0852615,0.00606604,0.0387552,0,0.0181981,-0.0620084,0.0387552,-0.0222421,0,0,0,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248504,0.782598,-1.48314,0.0190977,0.791984,-1.49413,-0.0227562,0.786619,-1.47906,0.0212727,0.793431,-1.48734,0.0232531,-0.0155021,-0.0222421,-0.0271287,-0.0155021,0.0181981,0.0155021,0.0581329,0.0424623,0,-0.0387552,0,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248504,0.782628,-1.48312,0.019128,0.791953,-1.49415,-0.0227865,0.786589,-1.47908,0.0212727,0.793431,-1.48733,0.0232531,0.0387552,0.00202201,0.0387552,-0.0387552,-0.00606604,-0.0271287,0,0.00808805,-0.0116266,-0.0503818,0.0303302,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,0,0.8,-1.5,20,0.5
2,-0.0248806,0.782628,-1.48312,0.0190977,0.791984,-1.49413,-0.0227562,0.786589,-1.47909,0.0212424,0.793492,-1.48734,-0.0387552,0.0155021,-0.00202201,0.0232531,-0.00387552,0.0262862,0,-0.0155021,-0.0121321,-0.0426308,0.0542573,0.00202201,0.0483054,0.931988,-1.40215,0.295238,0.742014,-0.872132,-0.206934,0.81598,-0.652939,-0.0136349,0.496373,-1.5946,20,0.5
2,-0.025244,0.782386,-1.48268,0.0211565,0.791499,-1.49328,-0.0235131,0.786286,-1.47799,0.0216057,0.791615,-1.48731,-0.248034,-0.143394,0.343742,1.57346,-0.387552,0.742079,-0.530947,-0.189901,0.922038,0.228656,-1.34093,0.0202201,0.106304,1.03471,-1.66012,0.243527,0.729548,-0.888256,-0.318594,0.837929,-0.706865,0.0142454,0.471615,-1.68112,20,0.5
2,-0.0247595,0.783324,-1.48142,0.0319354,0.789773,-1.48815,-0.031355,0.786074,-1.47126,0.0229682,0.783107,-1.48786,0.678217,0.856491,0.483261,2.76325,-0.73635,2.52549,-3.17018,0.0968881,3.48797,0.395303,-3.90265,-0.347786,0.106304,1.03471,-1.66012,0.243527,0.729548,-0.888256,-0.318594,0.837929,-0.706865,0.0142454,0.471615,-1.68112,20,0.5
2,-0.0223677,0.789349,-1.48135,0.0381725,0.786201,-1.47195,-0.0409227,0.787921,-1.45019,0.0247545,0.771087,-1.49055,0.333295,1.15491,-0.287126,1.08127,-0.775105,4.93371,-2.9454,0.643337,6.8162,0.63171,-2.53072,-0.665242,0.106304,1.03471,-1.66012,0.243527,0.729548,-0.888256,-0.318594,0.837929,-0.706865,0.0142454,0.471615,-1.68112,20,0.5
2,-0.0198849,0.794739,-1.48617,0.0493752,0.783385,-1.43891,-0.0488857,0.788436,-1.40948,0.0287512,0.756493,-1.49502,0.333295,1.28667,-1.12626,2.65861,-0.809984,6.36327,-0.879744,-1.34868,8.38326,0.581329,-2.94927,-1.0838,0.106304,1.03471,-1.66012,0.243527,0.729548,-0.888256,-0.318594,0.837929,-0.706865,0.0142454,0.471615,-1.68112,20,0.5
2,-0.0177352,0.807758,-1.49461,0.0619101,0.773999,-1.39948,-0.0605122,0.77908,-1.35683,0.0315973,0.73436,-1.50361,0.968881,2.72837,-1.96337,3.39883,-2.79038,8.27003,-3.41434,-1.03864,10.8986,0.472814,-5.02268,-1.80768,0.114336,0.876567,-1.64304,0.0669984,0.647598,-1.16468,-0.227188,0.644302,-1.1194,-0.0191063,0.434576,-1.47883,20,0.5
2,-0.0141321,0.817356,-1.50198,0.0736881,0.762524,-1.3642,-0.0738344,0.777112,-1.31598,0.0334139,0.714468,-1.50903,0.643337,2.03077,-2.28285,2.3757,-3.08104,9.77441,-3.35233,-0.844864,11.6185,0.422432,-4.94904,-1.24556,0.114336,0.876567,-1.64304,0.0669984,0.647598,-1.16468,-0.227188,0.644302,-1.1194,-0.0191063,0.434576,-1.47883,20,0.5
2,-0.0111044,0.821353,-1.50808,0.0794711,0.748899,-1.33875,-0.0860362,0.771935,-1.28741,0.0346553,0.700752,-1.51178,0.976632,1.49208,-2.37991,1.58896,-3.71663,9.25273,-3.5461,-2.21292,11.6367,0.244158,-5.5575,-0.891707,0.114336,0.876567,-1.64304,0.0669984,0.647598,-1.16468,-0.227188,0.644302,-1.1194,-0.0191063,0.434576,-1.47883,20,0.5
